objectid,parentid,title,proprietor,date_start,date_end,date_text,HoMER_venue,description,seats_number,address,location,latitude,longitude,source,format,display_template,description_file,filename,object_location,image_small,image_thumb
icp-0100,,"Orange Hall, Newry",,1913,,,Theatre,,,Downshire Road,Newry,54.181118,-6.334012,,,cinema_site,,,,/objects/small/orange-hall_newry_bio_27-nov-1913_sm.jpg,/objects/thumbs/orange-hall_newry_bio_27-nov-1913_th.jpg
icp-0100a,icp-0100,,,,,,,,,,,,,,image/jpeg,image,,orange-hall_newry_bio_27-nov-1913.jpg,/objects/orange-hall_newry_bio_27-nov-1913.jpg,/objects/small/orange-hall_newry_bio_27-nov-1913_sm.jpg,/objects/thumbs/orange-hall_newry_bio_27-nov-1913_th.jpg
icp-0101,,"Picture Palace, Ballymena",Irish Living Picture Company (W. Payne Seddon),1912,,,Theatre,,,Mill Street,Ballymena,54.86421525,-6.276198925,,,cinema_site,,,,/objects/small/ballymena_town-hall_postcards-ireland_sm.jpg,/objects/thumbs/ballymena_town-hall_postcards-ireland_th.jpg
icp-0101a,icp-0101,,,,,,,,,,,,,,image/jpeg,image,,ballymena_town-hall_postcards-ireland.jpg,/objects/ballymena_town-hall_postcards-ireland.jpg,/objects/small/ballymena_town-hall_postcards-ireland_sm.jpg,/objects/thumbs/ballymena_town-hall_postcards-ireland_th.jpg
icp-0102,,"Electric, Oldcastle",Charles Fox,1914,,,Theatre,,,Lenox (later Oliver Plunkett) Street,Oldcastle,53.76890636,-7.162271636,,,cinema_site,,,,/objects/small/electric_oldcastle_mcr_31-jan-1914_sm.jpg,/objects/thumbs/electric_oldcastle_mcr_31-jan-1914_th.jpg
icp-0102a,icp-0102,,,,,,,,,,,,,,image/png,image,,electric_oldcastle_mcr_31-jan-1914.png,/objects/electric_oldcastle_mcr_31-jan-1914.png,/objects/small/electric_oldcastle_mcr_31-jan-1914_sm.jpg,/objects/thumbs/electric_oldcastle_mcr_31-jan-1914_th.jpg
icp-0103,,"Opera House, Derry",W. Payne Seddon,1909,,,Theatre,,,Carlisle Road,Derry,54.99315749,-7.319395798,,,cinema_site,,,,/objects/small/opera-house_derry_fb_sm.jpg,/objects/thumbs/opera-house_derry_fb_th.jpg
icp-0103a,icp-0103,,,,,,,,,,,,,,image/jpeg,image,,opera-house_derry_fb.jpg,/objects/opera-house_derry_fb.jpg,/objects/small/opera-house_derry_fb_sm.jpg,/objects/thumbs/opera-house_derry_fb_th.jpg
icp-0104,,"Cinema, Skerries","Skerries Electric Theatre Co.(Francis Ahearn, I. I. Bradlaw)",1912,,,Theatre,,,,Skerries,53.577503,-6.1046,,,cinema_site,,,,/objects/small/skerries_electric-theatre_bio_19-sep-1912_sm.jpg,/objects/thumbs/skerries_electric-theatre_bio_19-sep-1912_th.jpg
icp-0104a,icp-0104,,,,,,,,,,,,,,image/jpeg,image,,skerries_electric-theatre_bio_19-sep-1912.jpg,/objects/skerries_electric-theatre_bio_19-sep-1912.jpg,/objects/small/skerries_electric-theatre_bio_19-sep-1912_sm.jpg,/objects/thumbs/skerries_electric-theatre_bio_19-sep-1912_th.jpg
icp-0105,,"Rialto, Derry",,1918,,,Theatre,,,Market Street,Derry,54.995202,-7.319824,,,cinema_site,,,,/objects/small/rialto_derry_dj_20-jan-1916_sm.jpg,/objects/thumbs/rialto_derry_dj_20-jan-1916_th.jpg
icp-0105a,icp-0105,,,,,,,,,,,,,,image/jpeg,image,,rialto_derry_dj_20-jan-1916.jpg,/objects/rialto_derry_dj_20-jan-1916.jpg,/objects/small/rialto_derry_dj_20-jan-1916_sm.jpg,/objects/thumbs/rialto_derry_dj_20-jan-1916_th.jpg
icp-0106,,"Cinema, Derry","City of Derry Picture House Co. (J. Boggs, R.G. Chadwick, W. Davis, W. J. Fee, W. Hamilton, H. Henderson, W. McGahey, R. Neely, B. Robinson and R. Lindsay)",1912,,,Theatre,,,Hawkins Street,Derry,54.993845,-7.321136,,,cinema_site,,,,/objects/small/cinema_derry_ls_17-dec-1912_sm.jpg,/objects/thumbs/cinema_derry_ls_17-dec-1912_th.jpg
icp-0106a,icp-0106,,,,,,,,,,,,,,image/jpeg,image,,cinema_derry_ls_17-dec-1912.jpg,/objects/cinema_derry_ls_17-dec-1912.jpg,/objects/small/cinema_derry_ls_17-dec-1912_sm.jpg,/objects/thumbs/cinema_derry_ls_17-dec-1912_th.jpg
icp-0107,,Curragh Picture House,"Curragh Picture House Co. (David Frame, Henry Grandy, William Hume)",1913,,,Theatre,,,Curragh Camp,Curragh,53.14603627,-6.832479,,,cinema_site,,,,/objects/small/curragh-ph_flickr_sm.jpg,/objects/thumbs/curragh-ph_flickr_th.jpg
icp-0107a,icp-0107,,,,,,,,,,,,,,image/jpeg,image,,curragh-ph_flickr.jpg,/objects/curragh-ph_flickr.jpg,/objects/small/curragh-ph_flickr_sm.jpg,/objects/thumbs/curragh-ph_flickr_th.jpg
icp-0108,,Coleraine Picture Palace,"Coleraine Picture Palace, Limited (J. G. A. Kidd, R. Hunter, J. Bethel, R. O’Neill and A. D. Sutherland)",1914,,,Theatre,,,Railway Road,Coleraine,55.132931,-6.665343,,,cinema_site,,,,/objects/small/coleraine-pp_nc_7-sep-1912_sm.jpg,/objects/thumbs/coleraine-pp_nc_7-sep-1912_th.jpg
icp-0108a,icp-0108,,,,,,,,,,,,,,image/jpeg,image,,coleraine-pp_nc_7-sep-1912.jpg,/objects/coleraine-pp_nc_7-sep-1912.jpg,/objects/small/coleraine-pp_nc_7-sep-1912_sm.jpg,/objects/thumbs/coleraine-pp_nc_7-sep-1912_th.jpg
